Item_Set,Sentence,NP1_number,Verb_number,Correct_Resp,Group
14,Dalgıcın annesi saatler boyunca gezindi.,singular,singular,Yes,C
14,Dalgıçların annesi saatler boyunca gezindi.,plural,singular,Yes,D
14,Dalgıcın annesi saatler boyunca gezindiler.,singular,plural,No,A
14,Dalgıçların annesi saatler boyunca gezindiler.,plural,plural,No,B
15,Fabrikatörün işçisi beklenmedik şekilde hastalandı.,singular,singular,Yes,C
15,Fabrikatörlerin işçisi beklenmedik şekilde hastalandı.,plural,singular,Yes,D
15,Fabrikatörün işçisi beklenmedik şekilde hastalandılar.,singular,plural,No,A
15,Fabrikatörlerin işçisi beklenmedik şekilde hastalandılar.,plural,plural,No,B
16,Oyuncunun hemşiresi etrafta amaçsızca gezdi.,singular,singular,Yes,C
16,Oyuncuların hemşiresi etrafta amaçsızca gezdi.,plural,singular,Yes,D
16,Oyuncunun hemşiresi etrafta amaçsızca gezdiler.,singular,plural,No,A
16,Oyuncuların hemşiresi etrafta amaçsızca gezdiler.,plural,plural,No,B
17,Mankenin asistanı geç vakitte uyandı.,singular,singular,Yes,C
17,Mankenlerin asistanı geç vakitte uyandı.,plural,singular,Yes,D
17,Mankenin asistanı geç vakitte uyandılar.,singular,plural,No,A
17,Mankenlerin asistanı geç vakitte uyandılar.,plural,plural,No,B
18,Dedektifin dişçisi çılgınlar gibi eğlendi.,singular,singular,Yes,C
18,Dedektiflerin dişçisi çılgınlar gibi eğlendi.,plural,singular,Yes,D
18,Dedektifin dişçisi çılgınlar gibi eğlendiler.,singular,plural,No,A
18,Dedektiflerin dişçisi çılgınlar gibi eğlendiler.,plural,plural,No,B
19,Göstericinin izleyicisi akşama kadar oturdu.,singular,singular,Yes,D
19,Göstericilerin izleyicisi akşama kadar oturdu.,plural,singular,Yes,A
19,Göstericinin izleyicisi akşama kadar oturdular.,singular,plural,No,B
19,Göstericilerin izleyicisi akşama kadar oturdular.,plural,plural,No,C
20,,singular,singular,Yes,D
20,,plural,singular,Yes,A
20,,singular,plural,No,B
20,,plural,plural,No,C
21,,singular,singular,Yes,D
21,,plural,singular,Yes,A
21,,singular,plural,No,B
21,,plural,plural,No,C
22,,singular,singular,Yes,D
22,,plural,singular,Yes,A
22,,singular,plural,No,B
22,,plural,plural,No,C
23,,singular,singular,Yes,D
23,,plural,singular,Yes,A
23,,singular,plural,No,B
23,,plural,plural,No,C
24,,singular,singular,Yes,D
24,,plural,singular,Yes,A
24,,singular,plural,No,B
24,,plural,plural,No,C
